X_name,FGL,GLON,GLAT,ra,dec,Class,CT,Class_prob,Class_prob_e,r0,significance,Fb,HR_hms,HR_ms,HR_hm,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,P_intra,P_inter,p_any,p_i,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,RPlx,PM,epsi,sepsi,ruwe,rgeo,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,W1mag,W2mag,W3mag,e_W1mag,e_W2mag,e_W3mag,ebv,nH_from_AV,nH
2CXO J085858.6-473110,J0859.2-4729,267.93446644274763,-1.077973833906824,134.7442120803469,-47.51953332391257,YSO,0.9611573522481056,0.49081316553727,0.1394803372438692,0.5386298044892244,10.138379127270545,2.2861745408165434e-14,0.7301236253296713,0.6896369736021064,0.7671271117167693,4.78722939276558e-16,2.72001670043495e-16,2.6061995454193e-15,4.670729612922001e-16,1.9776822923469577e-14,2.465442477631441e-15,0.9999794176946358,,0.99809015,1.0,20.482435,21.78603,19.037594,0.007226,0.212984,0.054182,0.5299,0.006782,0.000342,0.04342,1.034,2941.61841,15.571,13.755,13.153,0.076,0.055,0.079,,,,,,,3.2951075609847402,2.2574781900306458,21.865666521860074
2CXO J085858.7-473104,J0859.2-4729,267.9334407076676,-1.0766758831334218,134.74467041298198,-47.51790832389618,YSO,2.453644303713391,0.644269119070668,0.1169827108445064,0.5933987413907279,7.260686531705827,1.3144465594867291e-14,0.8837266281998276,0.062089926973960194,0.9365230070500383,3.583640281079516e-16,3.0178023419616903e-16,4.0581163950533805e-16,1.9742187867827503e-16,1.2380289927254e-14,1.8815149008640007e-15,0.4792286594737099,,0.9972058,1.0,,,,,,,,,,,,,14.551,14.952,13.052,,0.091,0.078,,,,,,,3.2904497360874743,2.2542871141935286,21.865616277087717
2CXO J085858.8-472725,J0859.2-4729,267.887588400759,-1.0364760477024657,134.74521207461387,-47.45693610169379,YSO,3.2097220394471626,0.7211810261374637,0.1164525685629776,0.9287206610623564,3.470588235294422,2.0104366639682277e-15,0.3698901654435356,0.9748062161501515,0.3753485286758665,7.978845608028655e-18,6.028102749890869e-18,6.254191112516063e-16,2.3822239840144133e-16,1.3770387071085925e-15,6.463651074183053e-16,0.94469136340625,,0.9972958,1.0,,,,,,,,,,,,,15.82,14.841,13.98,,0.07,0.076,,,,,,,3.13573414556558,2.1482914631269785,21.863727285270453
2CXO J085858.8-473054,J0859.2-4729,267.9316515432128,-1.074456032725174,134.74542041182897,-47.51510276831401,YSO,3.1606672084389227,0.7404646660212971,0.1286218578853593,0.501420049742828,9.562444765733934,1.81380488914642e-14,0.8224321761804001,0.9283790489769751,0.828244887194064,5.76680056902021e-17,4.3568791872853226e-17,1.5526989293052e-15,3.6876599570999997e-16,1.6527681956468798e-14,1.9738932903305008e-15,0.7457695075020301,,0.9972171,1.0,,,,,,,,,,,,,13.799,14.216,12.905,,0.061,0.064,,,,,,,3.282462464480053,2.2488150344152844,21.865529107694492
2CXO J085859.0-473034,J0859.2-4729,267.92770750135196,-1.0703323673801286,134.74621207708475,-47.50942221272983,NS,0.4499549455671879,0.4163891577928364,0.1590939448665012,0.6120637763208178,4.77777777777785,8.493305045904655e-15,0.9962422893962224,0.0,0.9981193779897938,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,8.477347354688598e-15,1.7791963583915498e-15,0.99488008687991,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.2672221265700285,2.2383738789131264,21.865331333343264
2CXO J085859.1-472658,J0859.2-4729,267.88249675853615,-1.030872766829205,134.7465454057204,-47.44941943499777,YSO,3.5090594215290416,0.8192642787996127,0.111604927042677,0.8441102216441286,6.840346756049814,7.774838585181927e-15,0.4679561952992933,0.8876197085628755,0.4902318977542569,1.1621680573330575e-16,1.0269606169035164e-16,1.95206054516372e-15,4.1337752721115e-16,5.706561234284901e-15,1.2375674965919002e-15,0.4903676447863699,,0.9986294,1.0,17.072893,19.421524,15.564956,0.003221,0.041556,0.004984,6.9723,0.007237,0.000626,13.47,1.342,1745.72729,12.215,10.989,10.319,0.023,0.027,0.02,9.492,9.126,4.95,0.013,0.008,0.049,3.1125105394663897,2.132380970588424,21.86399184805044
2CXO J085859.1-472809,J0859.2-4729,267.8972946739437,-1.0439145495986957,134.74629540744155,-47.469141657193504,LMXB,0.2347385862510148,0.3636689254598257,0.1071195936218058,0.5485636392289412,11.432512167224942,1.9715971082868863e-14,0.5203578656663309,0.7473191486841385,0.5678626872847417,5.9737609480806025e-16,2.1944427972541003e-16,4.130929130516001e-15,5.858425497536001e-16,1.4987665857544798e-14,2.1202559567035e-15,0.54919745284412,,0.999231,1.0,20.849194,21.417084,19.556871,0.014876,0.320398,0.192974,,0.0,0.003093,1.093,,,15.225,14.36,13.66,,0.075,0.104,,,,,,,3.1664765415356144,2.1693530786060498,21.863883988494077
2CXO J085859.1-473217,J0859.2-4729,267.9494291908417,-1.0890353658868124,134.7463370789712,-47.53808332386122,YSO,2.310704704075648,0.6900193610842207,0.168499993135907,1.215286824697816,3.176470588235341,3.1968882767017758e-15,0.8335100765856983,0.9400368222463837,0.8380976304620167,7.978845608028655e-18,6.028102749890869e-18,2.5814599656805003e-16,1.4862951317554e-16,2.930763434525697e-15,1.1021498392641776e-15,0.2474909271943099,,0.9916606,1.0,,,,,,,,,,,,,16.68,15.765,14.601,,0.188,0.204,,,,,,,3.3389809809846582,2.2875358700725896,21.866523446229753
2CXO J085859.1-473232,J0859.2-4729,267.95275606255007,-1.0918053323399484,134.7464620791214,-47.5424111016414,YSO,1.334353429833454,0.5376863504356243,0.1365776689951912,1.0786204458863646,3.72972972972972,4.6716868501580654e-15,0.9931683386631458,0.0,0.9965783254010567,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,4.655729158942008e-15,1.281883083423948e-15,0.72626959486802,,0.99505377,1.0,,,,,,,,,,,,,17.471,16.371,13.947,,,0.068,,,,,,,3.349703771484178,2.2948820538438106,21.866718240053306
2CXO J085859.4-472739,J0859.2-4729,267.8916766530382,-1.0377436603659795,134.7477537383342,-47.460855546046496,LMXB,0.2927085438351208,0.4460406582768635,0.2646492967745941,1.6010690385751951,3.028571428571459,2.046649005517184e-15,0.3079907051175569,0.7801086948115676,0.35971664708758966,7.78580213158098e-17,5.88225634949784e-17,6.302920462740901e-16,2.3635951735278e-16,1.338498937927284e-15,7.873523164278102e-16,0.8412875033981,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.14398253745599,2.153942436411099,21.86366947954128
